latitude,longitude,elevation,distanceFromStartM
36.300000000000004,-111.90000000000001,1662,0
36.300625050415015,-111.89937515528155,1665,89.252811506780219
36.301250097578716,-111.89875030054827,1646,178.50562301356044
36.301875141490974,-111.89812543579988,1621,267.75843452034064
36.302500182151654,-111.89750056103604,1610,357.01124602712088
36.303125219560648,-111.89687567625639,1559,446.26405753390111
36.303750253717816,-111.89625078146059,1465,535.51686904068129
36.304375284623028,-111.89562587664834,1487,624.76968054746158
36.305000312276171,-111.89500096181926,1410,714.02249205424175
36.305625336677117,-111.89437603697303,1363,803.27530356102193
36.306250357825725,-111.89375110210931,1302,892.52811506780222
36.30687537572188,-111.89312615722777,1298,981.7809265745824
36.307500390365455,-111.89250120232806,1287,1071.0337380813626
36.308125401756321,-111.89187623740987,1353,1160.2865495881429
36.308750409894358,-111.89125126247282,1407,1249.5393610949232
36.309375414779417,-111.8906262775166,1442,1338.7921726017032
36.31000041641142,-111.89000128254088,1427,1428.0449841084835
36.310625414790174,-111.88937627754528,1396,1517.2977956152638
36.311250409915608,-111.88875126252952,1365,1606.5506071220439
36.311875401787567,-111.88812623749322,1341,1695.8034186288241
36.312500390405937,-111.88750120243607,1315,1785.0562301356044
36.313125375770589,-111.88687615735772,1331,1874.3090416423845
36.313750357881389,-111.88625110225782,1321,1963.5618531491648
36.314375336738216,-111.88562603713605,1305,2052.8146646559449
36.315000312340949,-111.88500096199206,1312,2142.0674761627251
36.315625284689453,-111.88437587682554,1334,2231.3202876695054
36.3162502537836,-111.8837507816361,1370,2320.5730991762857
36.316875219623277,-111.88312567642345,1387,2409.825910683066
36.317500182208335,-111.88250056118724,1465,2499.0787221898463
36.318125141538665,-111.88187543592713,1506,2588.3315336966261
36.318750097614142,-111.88125030064278,1577,2677.5843452034064
36.319375050434623,-111.88062515533385,1556,2766.8371567101867
36.32,-111.88,1709,2856.089968216967
